city,state,cluster
Lauderhill,FL,0
Margate,FL,0
Coconut Creek,FL,0
Tamarac,FL,0
Weston,FL,0
Deerfield Beach,FL,0
Plantation,FL,0
Sunrise,FL,0
Davie,FL,0
Pompano Beach,FL,0
Miramar,FL,0
Hollywood,FL,0
Pembroke Pines,FL,0
Fort Lauderdale,FL,0
Coral Springs,FL,0
Tampa,FL,0
Coral Gables,FL,0
Orlando,FL,0
Kissimmee,FL,0
Hendersonville,TN,1
Chesapeake,VA,1
Concord,NC,1
Lafayette,LA,1
Rogers,AR,1
Greenville,SC,1
Bossier City,LA,1
Conway,AR,1
Murfreesboro,TN,1
Greenwood,IN,1
Virginia Beach,VA,1
Huntsville,AL,1
Concord,CA,2
Antioch,CA,2
San Ramon,CA,2
Pittsburg,CA,2
Brentwood,CA,2
Walnut Creek,CA,2
Mountain View,CA,2
Kansas City,KS,3
Stockton,CA,3
Tracy,CA,3
Manteca,CA,3
Yuba City,CA,3
Lodi,CA,3
Turlock,CA,3
Modesto,CA,3
Fort Collins,CO,4
Loveland,CO,4
Meridian,ID,4
Boise,ID,4
Colorado Springs,CO,4
New York,NY,5
Wheaton,IL,6
Waukegan,IL,6
Naperville,IL,6
Perth Amboy,NJ,6
Kettering,OH,7
Dayton,OH,7
Allentown,PA,7
Akron,OH,7
Fort Wayne,IN,7
Toledo,OH,7
St. Clair Shores,MI,7
Evansville,IN,7
Kenosha,WI,7
Hamilton,OH,7
Lancaster,PA,7
Youngstown,OH,7
Canton,OH,7
Decatur,IL,7
Kalamazoo,MI,7
Racine,WI,7
Reading,PA,7
Scranton,PA,7
Flint,MI,7
South Bend,IN,7
Peoria,IL,7
Erie,PA,7
Burbank,CA,8
Santa Monica,CA,8
Hawthorne,CA,8
Whittier,CA,8
Carson,CA,8
South Gate,CA,8
Compton,CA,8
Norwalk,CA,8
Lynwood,CA,8
Lancaster,CA,8
Inglewood,CA,8
Downey,CA,8
Alhambra,CA,8
El Monte,CA,8
Pasadena,CA,8
Palmdale,CA,8
West Covina,CA,8
Lakewood,CA,8
Monterey Park,CA,8
Baldwin Park,CA,8
Long Beach,CA,8
Santa Clarita,CA,8
Glendale,CA,8
Cerritos,CA,8
Glendora,CA,8
Paramount,CA,8
Rosemead,CA,8
Bellflower,CA,8
Diamond Bar,CA,8
Arcadia,CA,8
Gardena,CA,8
Torrance,CA,8
Montebello,CA,8
Pico Rivera,CA,8
Redondo Beach,CA,8
Huntington Park,CA,8
Pomona,CA,8
New Orleans,LA,9
Baltimore,MD,9
Richmond,VA,9
Philadelphia,PA,9
St. Louis,MO,9
Pueblo,CO,10
Albany,NY,10
Topeka,KS,10
Springfield,IL,10
Charleston,WV,10
Hoffman Estates,IL,11
Mount Prospect,IL,11
Oak Lawn,IL,11
Tinley Park,IL,11
Des Plaines,IL,11
Skokie,IL,11
Orland Park,IL,11
Schaumburg,IL,11
Evanston,IL,11
East Orange,NJ,11
Arlington Heights,IL,11
Cicero,IL,11
Palatine,IL,11
El Cajon,CA,12
National City,CA,12
La Mesa,CA,12
Santee,CA,12
